的	白勺
應	广人隹心
生	生
心	心
因	圍大
子	子
強	弓厶虫
類	米犬頁
作	人乍
送	辵䒑大
書	聿
每	每
法	水去
乖	千北
拍	扌白
市	市
撒	扌散
至	至
接	扌立女
美	羊大
表	表
未	未
辦	辛力辛
非	非
級	糸及
即	艮卩
哎	口艸乂
此	止匕
差	差
版	片反
併	人并
副	畐刀
系	丿糸
收	丩攴
男	田力
俺	人大电
字	宀子
兩	兩
股	月殳
轉	車專
便	人更
考	耂丂
塊	土鬼
線	糸泉
手	手
黃	黃
道	辵首
米	米
座	广从土
豬	豕者
聊	耳卯
取	耳又
低	人氐
難	堇隹
哇	口圭
兒	臼儿
受	爪冂又
包	勹巳
阿	阜可
喝	口日勹亡
白	白
金	金
四	四
近	辵斤
管	竹宀㠯
定	宀正
傳	人專
門	門
樣	木羊永
夠	多勹口
交	交
李	木子
笑	竹丿大
自	自
邊	辵自穴方
型	一廾刀土
黑	黑
慢	心冃四又
刷	尸巾刀
穿	穴牙
越	走戉
位	人立
貴	臾貝
部	咅邑
稱	禾爪魚
處	虎夂几
選	辵巽
站	立占
牛	牛
怪	心又土
省	少目
倒	人至刀
談	言炎
曾	曾
羣	尹口羊
經	糸巠
數	婁攴
據	扌虎豕
變	䜌攴
累	田糸
汗	水干
查	查
象	象
半	半
陳	阜東
紅	糸工
格	木各
五	五
幹	倝干
樓	木婁
方	方
讀	言士四貝
頂	丁頁
某	甘木
條	人丨攴木
亂	𤔔乚
唔	口吾
馬	馬
遠	辵袁
單	單
海	水每
相	木目
熱	坴丮火
光	光
咋	口乍
風	風
且	且
林	林
滿	水廿兩
額	宀各頁
化	化
班	王刀王
滴	水帝口
掛	扌圭卜
關	門幺幺䒑
漲	水弓長
店	广占
安	宀女
坐	从土
約	糸勺
飛	飛
劉	卯金刀
度	广廿又
種	禾重
俄	人我
歌	可可欠
報	幸卩又
信	人言
若	艸𠂇口
原	原
文	文
飯	食反
晚	日免
量	旦里
村	木寸
式	弋工
空	穴工
山	山
賺	貝兼
毛	毛
重	重
主	主
另	另
間	門日
裡	衤里
貼	貝占
入	人
伐	人戈
血	血
盤	舟殳皿
爽	大四乂
隊	阜八豕
楊	木昜
臺	臺
往	行主
片	片
國	圍戈口一
狗	犬勹口
歲	止戌㐄
費	弗貝
壞	土衣四水
龍	龍
離	离隹
共	共
西	西
佔	人占
周	周
超	走刀口
明	日月
媽	女馬
均	土勹二
期	其月
達	達
照	日刀口火
切	七刀
留	卯田
動	重力
特	牛寺
氣	气米
係	人丿糸
神	示申
鳥	鳥
畫	畫
夢	艸四冂夕
教	耂子攴
哥	可可
甘	甘
蠻	䜌虫
魚	魚
值	人直
鎮	金真
么	丿厶
罵	四馬
陪	阜咅
既	艮旡
哭	口口犬
力	力
建	廴聿
洗	水先
懂	心艸重
雙	隹隹又
口	口
指	扌旨
東	東
球	王求
仍	人乃
活	水舌
跌	足失
練	糸柬
億	人音心
清	水青
提	扌是
除	阜余
通	辵甬
酒	水酉
貓	豸艸田
餓	食我
票	西示
六	六
病	疒丙
咩	口羊
假	人叚
久	久
段	段
平	平
抓	扌爪
套	大長
課	言果
急	𠂊彐心
藥	艸白幺幺木
城	土成
任	人壬
草	艸早
羅	四糸隹
理	王里
令	令
雨	雨
貨	化貝
唱	口昌
左	𠂇工
藍	艸監
縣	縣
常	尚巾
色	𠂊巴
搶	扌倉
菜	艸采
喲	口糸勺
集	隹木
感	戌口心
房	戶方
較	車交
混	水日比
敢	敢
火	火
臉	月僉
操	扌三口木
南	南
退	辵艮
件	人牛
吳	吳
破	石皮
聲	声殳耳
德	行十四一心
雪	雨彐
局	尸㇕口
雲	雨云
噢	口宀釆大
整	束攴正
傻	人囟儿夂
華	華
克	克
呃	口厂卩
喊	口戌口
現	王見
跳	足兆
養	羊食
補	衤甫
團	圍專
沈	水冂儿
反	反
樂	白幺幺木
篇	竹戶冊
待	行寺
砸	石匚巾
深	水冂儿木
煩	火頁
根	木艮
求	求
投	扌殳
電	雨电
親	立木見
惡	亞心
葉	艸世木
款	士示欠
知	矢口
八	八
配	酉己
器	四口犬
何	人可
率	玄⺍十
調	言周
鬼	鬼
修	人丨攴彡
試	言弋工
謝	言身寸
麪	來夂丏
僅	人堇
層	尸曾
面	面
週	辵周
北	北
木	木
份	人分
記	言己
趙	走小月
情	心青
肉	肉
需	雨而
七	七
論	言侖
流	水𠫓巛
噶	口艸日勹亡
招	扌刀口
痛	疒甬
列	歹刀
石	石
香	香
封	圭寸
眼	目艮
易	易
冷	冫令
借	人昔
派	水𠂢
帥	㠯巾
付	人寸
十	十
廠	广尚攴
陽	阜昜
樹	木壴寸
油	水由
胡	古月
排	扌非
停	人高丁
合	合
軍	冂車
身	身
奧	宀釆大
章	章
科	禾斗
倆	人兩
星	日生
牌	片卑
權	木雚
翻	釆田羽
隨	阜辵𠂇工月
場	土昜
帖	巾占
商	商
庫	广車
價	人西貝
物	牛勿
泡	水勹巳
寶	宀王缶貝
玉	玉
體	骨曲豆
追	辵㠯
傷	人𠂉昜
背	北月
腳	月卻
丟	一去
劍	僉刀
解	角刀牛
室	宀至
底	广氐
業	业木
代	人弋
孫	子丿糸
朱	朱
亦	亦
須	彡頁
舊	雈臼
乾	倝乙
工	工
咱	口自
詞	言司
刀	刀
喔	口尸至
波	水皮
證	言癶豆
鐵	金𢦏口𡈼
推	扌隹
落	艸水各
節	竹艮卩
春	春
輕	車巠
笨	竹本
九	九
輸	車俞
江	水工
短	矢豆
含	今口
千	千
炒	火少
藉	艸耒昔
丫	八丨
徐	行余
騙	馬戶冊
秒	禾少
青	青
耍	而女
夜	夜
許	言午
咁	口甘
吹	口欠
師	㠯一巾
板	木反
土	土
贏	贏
姐	女且
直	直
公	公
苦	艸古
秀	禾乃
博	十甫寸
皮	皮
朝	朝
君	尹口
詩	言寺
爛	火門柬
靜	青爪尹
利	禾刀
素	素
立	立
存	才子
燒	火堯
斷	㡭斤
吾	吾
虧	虎隹亏
湯	水昜
民	民
極	木亟
命	亼
睇	目弟
忘	亡心
茶	艸人木
冰	冫水
供	人共
案	宀女木
田	田
初	衤刀
品	三口
抽	扌由
造	辵告
抱	扌勹巳
野	里予
綠	糸彔
項	工頁
獎	爿肉寸犬
胖	月半
緊	臣又糸
故	古攴
服	服
盡	盡
百	百
兵	斤廾
英	艸冂大
蘇	艸魚禾
般	舟殳
演	水寅
嘴	口止匕角
簽	竹僉
填	土真
果	果
保	人口木
唐	庚口
雞	爪幺大隹
夏	頁夂
莫	莫
硬	石更
寒	寒
挖	扌穴乙
凡	凡
髮	長彡犮
言	言
題	是頁
防	阜方
街	行圭
距	足巨
挑	扌兆
純	糸屯
鬧	鬥市
欲	谷欠
竟	音儿
源	水原
官	宀㠯
戲	虎豆戈
寄	宀大可
古	古
首	首
思	田心
橋	木丿大高
燈	火癶豆
郭	享邑
亮	高儿
干	干
屬	尾蜀
窮	穴身弓
粉	米分
爆	火暴
韓	倝韋
刪	冊刀
戴	𢦏異
然	肉犬火
衝	行重
疼	疒冬
雷	雨田
蓋	艸去皿
港	水共巳
租	禾且
狼	犬良
蘭	艸門柬
狂	犬王
布	布
引	弓丨
壓	厂日月犬土
亞	亞
捏	扌日土
齊	齊
隻	隹又
賽	寒貝
賽	塞貝
員	員
佛	人弗
食	食
船	舟公
今	今
恨	心艮
宋	宀木
銀	金艮
猛	犬子皿
客	宀各
黨	尚黑
雖	口虫隹
碼	石馬
友	𠂇又
領	令頁
句	勹口
斯	其斤
沙	水少
戰	單戈
哼	口亨
望	亡月𡈼
腿	月辵艮
沖	水中
丁	丁
園	圍袁
祝	示口儿
鄉	乡
牀	爿木
鄭	酋大邑
界	田介
抗	扌亢
步	步
河	水可
缺	缶夬
賊	貝戎
尚	尚
似	人厶人
羊	羊
福	示畐
必	必
遭	辵曹
煙	火西土
否	不口
端	立山而
設	言殳
猜	犬青
伊	人尹
秦	廾禾
秋	禾火
毒	丰母
架	加木
熊	能火
持	扌寺
廣	广黃
插	扌臿
歸	㠯止帚
折	扌斤
滾	水衣公
靈	雨口口口工从
意	音心
呆	口木
基	其土
困	圍木
圈	圍龹卩
迷	辵米
趕	走日干
踢	足易
勝	朕力
史	史
甲	甲
呵	口可
搬	扌舟殳
獲	犬雈又
紙	糸氏
乃	乃
覺	𦥯見
右	𠂇口
塔	土艸合
準	水隹十
拖	扌𠂉也
摸	扌莫
院	阜宀元
慘	心三厶人彡
訂	言丁
散	散
松	木公
爸	父巴
喜	壴口
洋	水羊
語	言吾
呈	口𡈼
治	水台
降	阜夂㐄
峯	山夂丰
漢	水堇
富	宀畐
姓	女生
料	米斗
嘎	口頁戈
結	糸吉
閃	門人
咬	口交
梅	木每
批	扌比
戶	戶
足	足
寧	宀心皿丁
爬	爪巴
醒	酉日生
狠	犬艮
逛	辵犬王
精	米青
瘦	疒申又
瘋	疒風
踩	足采
槍	木倉
誒	言厶矢
軟	車欠
偷	人俞
支	支
杜	木土
麗	麗
鞋	革圭
展	展
咧	口歹刀
興	𦥑
依	人衣
倍	人咅
康	庚⺍
堂	尚土
救	求攴
觀	雚見
鍵	金廴聿
製	制衣
餘	食余
冇	𠂇冂
筆	竹聿
音	音
世	世
著	艸者
仲	人中
舞	無舛
吖	口八丨
守	宀寸
露	雨足各
冒	冃目
昇	日升
唄	口貝
榮	火火冂木
弱	弓冫弓冫
影	日京彡
州	⺍巛
替	夫夫日
逼	辵畐
陸	阜坴
曲	曲
願	原頁
牙	牙
箱	竹木目
嚇	口赤赤
測	水貝刀
莊	艸爿士
寬	宀艸見丶
遍	辵戶冊
細	糸田
狀	爿犬
巴	巴
閒	門月
武	戈止
湖	水古月
聯	耳幺幺䒑
程	禾口𡈼
柳	木卯
偏	人戶冊
實	宀串貝
印	爪卩
味	口未
鎖	金小貝
衆	血从
零	雨令
環	王睘
角	角
紫	止匕糸
勒	革力
島	鳥山
耶	耳邑
熟	享丮火
孔	子乚
寸	寸
標	木西示
歐	匚三口欠
厚	厂日子
答	竹合
社	示土
懶	心束刀貝
顧	戶隹頁
順	巛頁
滅	水戌火
運	辵冂車
輪	車侖
兼	兼
溫	水圍人皿
娘	女良
登	癶豆
悶	門心
微	行山一儿攴
佳	人圭
瞭	目尞
雅	牙隹
魔	麻鬼
司	司
拋	扌尢力
志	士心
奇	大可
編	糸戶冊
瓦	瓦
居	尸古
憑	冫馬心
盛	成皿
奶	女乃
虎	虎
后	后
洞	水同
台	台
形	一廾彡
佢	人巨
負	𠂊貝
川	巛
檔	木尚田
圓	圍員
牆	爿嗇
囧	四冂
充	𠫓儿
害	宀丰口
喂	口畏
免	免
景	日京
擬	扌疑
穩	禾爪工彐心
曹	曹
曉	日堯
煮	者火
良	良
蛋	疋虫
吐	口土
肥	月巴
仙	人山
宮	宀呂
碰	石並
酸	酉厶儿夂
侯	人龴矢
塞	塞
嘍	口婁
脫	月公儿
勁	巠力
欠	欠
創	倉刀
擦	扌宀肉又示
爾	爾
藏	艸戈爿臣
皆	比白
屁	尸比
永	永
夫	夫
掙	扌爪尹
琴	王王今
錄	金彔
餵	食畏
稅	禾公儿
宏	宀𠂇厶
例	人歹刀
專	專
砍	石欠
視	示見
繼	糸㡭
兄	口儿
產	文厂生
善	善
增	土曾
施	㫃也
淚	水戶犬
暗	日音
忍	刀丶心
肯	止月
母	母
聖	耳口𡈼
橫	木黃
遊	辵㫃子
艾	艸乂
致	至夂
宗	宀示
偉	人韋
麻	麻
怒	女又心
扔	扌乃
爭	爪尹
游	水㫃子
鄧	癶豆邑
腰	月要
嫩	女束攴
肖	小月
淨	水爪尹
罪	四非
仔	人子
彈	弓單
丑	丑
減	水戌口
敏	每攴
義	羊我
棒	木廾扌
臭	自犬
響	乡音
聞	門耳
拆	扌斥
蔡	艸肉又示
計	言十
絲	糸糸
校	木交
氏	氏
糖	米庚口
吉	吉
押	扌甲
馮	冫馬
吵	口少
谷	谷
麥	來夂
衣	衣
宇	宀于
雜	衣木隹
末	末
潘	水釆田
告	告
旁	旁
耐	而寸
董	艸重
榜	木旁
醉	酉卒
鍾	金重
妹	女未
鋼	金岡
蔣	艸爿肉寸
幣	巾⺍攴巾
宜	宀且
尼	尸匕
灰	灰
評	言平
維	糸隹
絕	糸刀巴
屋	尸至
幾	幺幺戈人
楚	林疋
屆	尸土凵
館	食宀㠯
丹	丹
乘	乘
認	言刀丶心
刻	亥刀
俊	人厶儿夂
芳	艸方
抄	扌少
夾	大从
酷	酉告
京	京
嚴	口口厂敢
返	辵反
礦	石广黃
廳	广耳𡈼十四一心
魯	魚日
瑞	王山而
仁	人二
飄	西示風
註	言主
添	水天心
催	人山隹
具	具
威	戌女
劇	虎豕刀
核	木亥
農	曲辰
瓶	并瓦
銅	金同
犯	犬卩
族	㫃矢
季	禾子
尋	彐工口寸
顯	日幺幺火頁
骨	骨
嘿	口黑
鏈	金辵車
擺	扌四能
擠	扌齊
黎	黎
騎	馬大可
密	宀必山
士	士
術	行术
炸	火乍
祇	示氏
洪	水共
訊	言飛
腦	月巛囟
禮	示曲豆
容	穴公
輝	光冂車
射	身寸
智	矢口日
索	十冂糸
聚	耳又从
拼	扌并
燕	燕
撞	扌童
膜	月莫
普	並日
竹	个个
魏	禾女鬼
澤	水睪
乜	㇕乚
側	人貝刀
諾	言艸𠂇口
呂	呂
范	艸水卩
搭	扌艸合
鳳	凡鳥
袁	袁
扯	扌止
鑽	金先先貝
彭	壴彡
陰	阜今云
唸	口今心
薄	艸水甫寸
涼	水京
曰	曰
胃	田月
鹽	臣𠂉鹵皿
賴	束刀貝
獨	犬蜀
窩	穴咼
堆	土隹
赴	走卜
載	𢦏車
躲	身几木
孟	子皿
抵	扌氐
甜	舌甘
舉	與扌
彩	采彡
甚	甚
厄	厂卩
粗	米且
傑	人舛木
噸	口屯頁
慶	鹿㇕心夂
緣	糸彑豕
駐	馬主
申	申
衛	行韋
訓	言巛
念	今心
蕭	艸尹𣶒
惹	艸𠂇口心
帳	巾長
勸	雚力
讚	言先先貝
盒	合皿
逃	辵兆
嘉	壴加
納	糸内
升	升
倉	倉
姚	女兆
休	人木
症	疒正
斤	斤
功	工力
喇	口束刀
釦	金口
浪	水良
扣	扌口
泰	廾水
忠	中心
梁	水刀八木
吸	口及
貝	貝
跨	足大亏
盧	虎田皿
森	三木
瞎	目宀丰口
卷	龹卩
于	于
井	井
針	金十
蛇	虫它
寺	寺
購	貝冓
導	辵首寸
飲	食欠
噴	口屮貝
虛	虎丘
屏	尸并
優	人頁心夂
灌	水雚
埋	土里
略	田各
掃	扌帚
吶	口内
目	目
蒙	艸冃豕
託	言乇
托	扌乇
巧	工丂
淡	水炎
賤	貝戔
拜	手一丰
冬	冬
娜	女冄邑
懷	心衣四水
池	水也
敲	高攴
凱	山豆几
鐘	金童
愁	禾火心
鋪	金甫
薩	艸阜立厂生
揚	扌昜
勇	甬力
財	貝才
鍊	金柬
終	糸冬
質	斤斤貝
泥	水尸匕
昏	氏日
遇	辵禺
喬	丿大高
欄	木門柬
鍋	金咼
巨	巨
儀	人羊我
遲	辵尾牛
怎	乍心
磨	麻石
呼	口乎
賭	貝者
液	水夜
泉	泉
嫁	女宀豕
捲	扌龹卩
汪	水王
稍	禾小月
薛	艸㠯辛
賈	西貝
豆	豆
頓	屯頁
旺	日王
儂	人曲辰
攻	工攴
祥	示羊
委	禾女
佐	人𠂇工
臨	臣𠂉三口
隔	阜鬲
繞	糸堯
輛	車兩
崔	山隹
溝	水冓
碗	石宀夕卩
賠	貝咅
吻	口勿
健	人廴聿
速	辵束
失	失
雄	𠂇厶隹
胸	月勹乂凵
框	木匚王
鬥	鬥
暴	暴
湊	水廾天
陣	阜車
識	言音戈
娃	女圭
唯	口隹
漏	水尸雨
拔	扌犮
洛	水各
探	扌冂儿木
碟	石世木
郎	良邑
珠	王朱
劑	齊刀
尿	尸水
透	辵禾乃
惠	專心
譚	言覃
營	火火冂呂
府	广人寸
菲	艸非
叼	口刁
父	父
耳	耳
殘	歹戔
窗	穴囪
搜	扌申又
希	爻巾
患	串心
尾	尾
播	扌釆田
岩	山石
逗	辵豆
廢	广癶
賢	臣又貝
限	阜艮
帝	帝
昌	昌
模	木莫
磚	石專
扁	戶冊
舒	舍予
嫌	女兼
陶	阜勹缶
苗	艸田
剪	前刀
羽	羽羽
哩	口里
稿	禾高
棟	木東
邦	丰邑
撿	扌僉
玲	王令
驚	艸勹口攴馬
坑	土亢
備	人𤰇
撥	扌癶
袋	人弋衣
趁	走人彡
妖	女丿大
甩	用乚
錦	金白巾
溼	水一幺幺土
琳	王林
乙	乙
伴	人半
淺	水戔
尊	酋寸
顏	文厂彡頁
匯	匚水隹
熬	敖火
吊	口巾
霜	雨木目
沿	水公
伯	人白
盜	水欠皿
浩	水告
剩	乘刀
域	土戈口一
祖	示且
肺	月巿
附	阜人寸
制	制
玄	玄
置	四直
豪	高豕
恆	心二月
助	且力
濤	水壽
幽	幺幺山
欣	斤欠
豐	丰丰山豆
辣	辛束
煤	火甘木
戀	䜌心
圍	圍韋
瓜	瓜
諸	言者
俾	人卑
慧	丰丰彐心
墨	黑土
鮮	魚羊
鏡	金音儿
娶	耳又女
蝦	虫叚
犬	犬
鵬	朋鳥
誠	言成
賀	加貝
險	阜僉
飾	食𠂉巾
撐	扌尚牙
炎	炎
震	雨辰
鋒	金夂丰
遂	辵八豕
斌	文戈止
軒	車干
控	扌穴工
殼	壳殳
擋	扌尚田
覆	西行复
趟	走尚
禁	林示
烤	火耂丂
盃	不皿
童	童
蟲	三虫
徵	行山一𡈼攴
靚	青見
杯	木不
暨	艮旡旦
晴	日青
魂	云鬼
益	益
庭	广廴𡈼
肝	月干
濃	水曲辰
坊	土方
晨	日辰
紀	糸己
振	扌辰
塵	鹿土
割	宀丰口刀
敗	貝攴
消	水小月
兆	兆
楓	木風
隆	阜夂一生
撤	扌𠫓月攴
粥	弓米弓
馨	声殳香
誤	言吳
滑	水骨
噠	口達
曼	冃四又
暖	日爰
滬	水戶邑
己	己
止	止
柱	木主
塗	水余土
妻	一尹女
灣	水䜌弓
盾	盾
奔	奔
潤	水門王
政	正攴
爹	父多
尹	尹
廖	广羽人彡
刺	朿刀
冠	冃兀寸
躺	身尚
舍	舍
鑫	三金
蓮	艸辵車
售	隹口
獸	單口犬
婚	女氏日
攝	扌三耳
醫	匚矢殳酉
閣	門各
妞	女丑
邱	丘邑
兔	兔
敬	艸勹口攴
潮	水朝
昂	日卬
飽	食勹巳
咳	口亥
邪	牙邑
促	人足
鼠	鼠
葛	艸日勹亡
串	串
桑	三又木
續	糸士四貝
苑	艸夕卩
迎	辵卬
弓	弓
碎	石卒
余	余
承	扌
迪	辵由
膠	月羽人彡
烏	烏
牠	牛也
臣	臣
勤	堇力
摔	扌玄⺍十
撈	扌火火冂扌力
蒸	艸丞火
凌	冫夌
辛	辛
旗	㫃其
妙	女少
始	女台
符	竹人寸
倫	人侖
鋁	金呂
亭	高丁
吼	口子乚
云	云
研	石一廾
咪	口米
俗	人谷
爺	父耳邑
啓	戶攴口
霧	雨矛夂力
珍	王人彡
卓	卓
韋	韋
歡	雚欠
嗨	口水每
積	禾責
擡	扌臺
捧	扌廾扌
鳴	口鳥
舔	舌天心
贊	先先貝
喃	口南
簡	竹門日
豔	丰丰山豆去皿
愈	俞心
溪	水爪幺大
罰	四言刀
歪	不正
晃	日光
斜	余斗
預	予頁
鄒	勹屮勹屮邑
崗	山岡
尤	尤
洲	水⺍巛
乎	乎
湘	水木目
罷	四能
軸	車由
妳	女尔
翔	羊羽
異	異
隱	阜爪工彐心
枝	木支
逸	辵兔
哄	口共
餐	歹又食
顆	果頁
鴨	甲鳥
染	水九木
餅	食并
粘	米占
藝	艸坴丮云
炮	火勹巳
桌	卓木
芬	艸分
鴻	水工鳥
攜	扌山隹内口
腎	臣又月
撲	扌业大
萍	艸水平
晶	三日
勾	勹厶
戒	戈廾
桂	木圭
朗	良月
堵	土者
矣	厶矢
捐	扌口月
彎	䜌弓
薑	艸三田田
荷	艸人可
畝	亠田久
棉	木白巾
私	禾厶
擊	車凵殳手
姜	羊女
貸	人弋貝
嗲	口父多
傾	人匕頁
鼓	壴支
霞	雨叚
瞧	目隹火
皇	皇
企	人止
互	互
沉	水冂几
箭	竹前
柏	木白
騰	朕馬
焦	隹火
憋	巾⺍攴心
潔	水丰刀糸
盟	日月皿
延	廴丿止
柔	矛木
資	二欠貝
粒	米立
嶺	山令頁
盆	分皿
檢	木僉
護	言雈又
眉	眉
傘	傘
碧	王白石
籍	竹耒昔
燙	水昜火
瑪	王馬
刮	舌刀
勿	勿
坤	土申
汁	水十
冊	冊
銘	金夕口
浴	水谷
翼	羽異
哲	扌斤口
涵	水函
鈣	金丐
菌	艸圍禾
敵	帝口攴
桶	木甬
抹	扌末
判	半刀
寵	宀龍
紋	糸文
弟	弟
傅	人甫寸
衰	衣冄
譯	言睪
柯	木可
叔	尗又
肩	戶月
殿	尸共殳
番	釆田
驢	馬虎田皿
怡	心台
旭	九日
訪	言方
勢	坴丮力
蒐	艸鬼
航	舟亢
妮	女尸匕
萊	艸來
坡	土皮
兇	乂凵儿
旅	㫃从
鷹	广人隹鳥
赤	赤
技	扌支
韻	音員
摘	扌帝口
翠	羽卒
邁	辵萬
孝	耂子
移	禾多
搖	扌肉缶
畢	畢
予	予
岳	丘山
屎	尸米
融	鬲虫
棋	木其
勞	火火冂力
採	扌采
鈕	金丑
扶	扌夫
介	介
渡	水广廿又
芯	艸心
奪	大隹寸
采	采
乳	爪子乚
拳	龹手
浜	水斤廾
齣	齒勹口
錫	金易
薇	艸行山一儿攴
淫	水爪壬
拽	扌电丿
職	耳音戈
宅	宀乇
掌	尚手
培	土咅
莉	艸禾刀
損	扌員
櫃	木匚臾貝
盼	目分
握	扌尸至
謀	言甘木
廟	广朝
截	𢦏隹
酶	酉每
孤	子瓜
壯	爿士
邵	刀口邑
墊	幸丮土
規	夫見
頗	皮頁
什	人十
宣	宀二日
妍	女一廾
尖	小大
討	言寸
醋	酉昔
朵	几木
膽	月𠂊厂八言
穆	禾白小彡
姬	女臣
龜	龜
啃	口止月
漸	水車斤
耗	耒毛
息	自心
伍	人五
塘	土庚口
壽	壽
逢	辵夂丰
闖	門馬
晉	晉
桃	木兆
壁	尸口辛土
霍	雨隹
爐	火虎田皿
漆	水木黎
暫	車斤日
虹	虫工
丸	丮
券	龹刀
獃	山豆犬
辭	𤔔辛
縫	糸辵夂丰
俱	人具
菊	艸勹米
奴	女又
岸	山厂干
凝	冫疑
膩	月弋二貝
芝	艸之
兮	八丂
脈	月𠂢
嚐	口尚旨
烈	歹刀火
矮	矢禾女
貪	今貝
婆	水皮女
俞	俞
蝶	虫世木
誇	言大亏
枕	木冂儿
毀	臼土殳
避	辵尸口辛
郝	赤邑
帕	巾白
綁	糸丰邑
悅	心公儿
浮	水爪子
盈	乃又皿
枚	木攴
材	木才
賞	尚貝
扎	扌乚
翁	公羽
幻	幺㇕
衫	衤彡
杆	木干
固	圍古
耀	光羽隹
槽	木曹
穴	穴
獻	虎鬲犬
幅	巾畐
審	宀釆田
斬	車斤
伸	人申
悲	非心
殷	身殳
茲	艸幺幺
穎	匕禾頁
萌	艸日月
斑	王文王
澡	水三口木
牽	玄冂牛
屈	尸出
娟	女口月
怨	夕卩心
癢	疒羊食
恐	巩心
凍	冫東
複	衤复
柴	止匕木
逆	辵屰
僞	人爲
騷	馬蚤
渣	水查
熙	臣巳火
抖	扌斗
忽	勿心
津	水聿
胎	月台
糧	米旦里
濟	水齊
參	三厶人彡
譜	言並日
准	冫隹
褲	衤广車
紮	木乚糸
摩	麻手
縮	糸宀人百
漫	水冃四又
溜	水卯田
彥	文厂彡
棄	𠫓廿木
扇	戶羽
婷	女高丁
菸	艸於
脣	辰月
憂	頁心夂
堡	人口木土
淘	水勹缶
墓	莫土
鹿	鹿
攢	扌先先貝
嬌	女丿大高
遞	辵𠂆虎
彬	林彡
蹭	足曾
卿	卩艮卩
琪	王其
鶴	冂隹鳥
函	函
確	石冂隹
郡	尹口邑
奈	大示
茂	艸戊
緩	糸爰
協	十三力
瓊	王𠂊内目攴
髒	骨艸歹匕廾
債	人責
肌	月几
薰	艸熏
映	日冂大
粵	宀釆亏
鼻	鼻
泵	石水
銷	金小月
育	𠫓月
澳	水宀釆大
陞	阜升土
候	人丨龴矢
堅	臣又土
种	禾中
邀	辵白方攴
閉	門才
妝	爿女
噻	口塞
佩	人凡巾
決	水夬
適	辵帝口
策	竹朿
藤	艸朕水
仿	人方
磊	三石
雁	厂人隹
俠	人大从
腸	月昜
窄	穴乍
昨	日乍
倪	人臼儿
務	矛夂力
雯	雨文
戈	戈
爪	爪
癌	疒三口山
效	交攴
拷	扌耂丂
猴	犬人龴矢
掏	扌勹缶
汝	水女
撮	扌冃耳又
幸	幸
揉	扌矛木
醬	爿肉寸酉
舟	舟
訴	言斥
態	能心
盯	目丁
繡	糸尹𣶒
蜜	宀必虫
漂	水西示
序	广予
巷	共巳
梨	禾刀木
舌	舌
蒂	艸帝
腹	月复
蟹	角刀牛虫
陷	阜𠂊臼
捉	扌足
蒼	艸倉
鵝	我鳥
疑	疑
鼎	鼎
釣	金勺
